Date,MSCI Emerging Markets Small Cap
06/2023,40533.87554704659
07/2023,43180.75420809547
08/2023,42596.54688122306
09/2023,41721.22575701466
10/2023,39704.9966111643
11/2023,43530.98047984051
12/2023,45454.907523215275
01/2024,44670.49104345862
02/2024,45897.27286066645
03/2024,45933.350568648966
04/2024,46841.814738989786
05/2024,47149.34866810605
06/2024,48656.57701973445
07/2024,48634.0080726492
08/2024,49498.07965976556
09/2024,51323.08996601849
10/2024,49216.142503452895
11/2024,48124.588041020055
12/2024,47632.10054244663
01/2025,46302.86176112319
02/2025,45081.36699343894
03/2025,45014.73153666814
04/2025,46238.578692025876
05/2025,49896.44836043239
06/2025,52745.8186891378
07/2025,53077.87800657272
08/2025,54482.416484414854
09/2025,55573.71474620998
10/2025,56840.69677257069
11/2025,56014.91553530793
12/2025,56482.039170748416
01/2026,60590.28626927619
02/2026,63091.27031263466
03/2026,56066.784518960034
